DEBUG 2025-03-13 12:02:04,161 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1741769836.454334
DEBUG 2025-03-13 12:02:04,161 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1741769837.5397983
DEBUG 2025-03-13 12:02:04,161 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\zipfile\__init__.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,161 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1741770257.7582839
DEBUG 2025-03-13 12:02:04,161 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\db\migrations\executor.py first seen with mtime 1741769840.3087192
DEBUG 2025-03-13 12:02:04,161 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\enum.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,161 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\email\feedparser.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,161 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\textwrap.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,161 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\email\errors.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,161 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\email\policy.py first seen with mtime 1712654418.0
